station,arrondissement,mm,dd,wday,AM,tot,temp,precip
Pierre-de-Coubertin / Langelier,Mercier - Hochelaga-Maisonneuve,6,29,Thursday,0,18,20.3,4.7
Boyer / Bélanger,Rosemont - La Petite-Patrie,6,10,Saturday,5,133,17.6,0
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,5,4,Thursday,18,50,9.1,0
Parc LaSalle (10e avenue / Victoria),Lachine,5,22,Monday,0,19,10.8,0
Dézéry / Ontario,Mercier - Hochelaga-Maisonneuve,10,17,Tuesday,25,97,10.8,0.8
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,8,24,Thursday,27,105,20.8,4.1
Rosemont / Viau,Rosemont - La Petite-Patrie,10,17,Tuesday,4,20,10.8,0.8
5e avenue / Masson,Rosemont - La Petite-Patrie,9,25,Monday,27,139,16.3,0
Henri-Julien / de Bellechasse,Rosemont - La Petite-Patrie,9,17,Sunday,3,56,17.9,0
Graham / Wicksteed,Mont-Royal,8,15,Tuesday,6,50,21.2,0.5
Darling / Sherbrooke,Rosemont - La Petite-Patrie,8,16,Wednesday,10,37,21.9,0.4
Dubois / Eadie,Le Sud-Ouest,7,17,Monday,7,35,25.2,0
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,5,29,Monday,18,80,18,0
Mozart / Waverly,Rosemont - La Petite-Patrie,7,6,Thursday,13,66,27.7,0
Louis-Hébert / St-Zotique,Rosemont - La Petite-Patrie,9,5,Tuesday,13,38,26.5,0
Graham / Brookfield,Mont-Royal,7,24,Monday,3,33,24,0
Valois / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,5,24,Wednesday,11,39,11.9,7.2
Ste-Catherine / Dezery,Mercier - Hochelaga-Maisonneuve,7,29,Saturday,13,73,16.2,0.2
Duchesneau / de Marseille,Mercier - Hochelaga-Maisonneuve,6,29,Thursday,1,8,20.3,4.7
Henri-Julien / de Bellechasse,Rosemont - La Petite-Patrie,7,1,Saturday,0,42,22.6,27.2
Valois / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,5,9,Tuesday,15,64,10.2,0
Parc Honoré-Mercier (Notre-Dame / Liébert),Mercier - Hochelaga-Maisonneuve,6,11,Sunday,3,43,20.3,0
St-Dominique / St-Zotique,Rosemont - La Petite-Patrie,8,15,Tuesday,28,198,21.2,0.5
26e avenue / Beaubien,Rosemont - La Petite-Patrie,9,14,Thursday,14,50,13.9,0
Parc du Pélican (2e avenue / St-Joseph),Rosemont - La Petite-Patrie,6,25,Sunday,3,46,22.2,0
Graham / Kindersley,Mont-Royal,5,5,Friday,4,32,11.8,0
Du Quesne / de Marseille,Mercier - Hochelaga-Maisonneuve,8,1,Tuesday,7,30,15.6,0
Darling / Sherbrooke,Rosemont - La Petite-Patrie,7,16,Sunday,1,43,24.2,12.7
41e avenue / Rosemont,Rosemont - La Petite-Patrie,7,28,Friday,3,20,23.9,23.4
Peel / Ottawa,Le Sud-Ouest,8,8,Tuesday,30,197,22,6.6
Boyer / Beaubien,Rosemont - La Petite-Patrie,9,14,Thursday,39,194,13.9,0
5e avenue / Masson,Rosemont - La Petite-Patrie,10,1,Sunday,16,147,18.8,0
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand),Mercier - Hochelaga-Maisonneuve,5,21,Sunday,3,35,16.2,0
Métro Préfontaine (Moreau / Hochelaga),Mercier - Hochelaga-Maisonneuve,8,4,Friday,14,95,21.4,3.1
Boyer / Rosemont,Rosemont - La Petite-Patrie,7,20,Thursday,39,155,21.8,0.3
Du Quesne / de Marseille,Mercier - Hochelaga-Maisonneuve,6,27,Tuesday,1,18,23.3,7.2
3e avenue / Holt,Rosemont - La Petite-Patrie,10,11,Wednesday,15,38,10.3,1.8
Drolet / St-Zotique,Rosemont - La Petite-Patrie,7,23,Sunday,4,71,22.3,0
de Chambly / Rachel,Rosemont - La Petite-Patrie,5,20,Saturday,5,82,18.4,3.2
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,10,26,Thursday,27,158,16.1,5.8
1ère avenue / Rosemont,Rosemont - La Petite-Patrie,9,30,Saturday,8,77,17.3,0.5
Bourbonnière / du Mont-Royal,Rosemont - La Petite-Patrie,6,7,Wednesday,14,59,13.7,3.7
Métro Cadillac (Cadillac / Sherbrooke),Mercier - Hochelaga-Maisonneuve,6,19,Monday,2,37,17.5,0
Ste-Claire / Pierre-Tétreault,Mercier - Hochelaga-Maisonneuve,8,17,Thursday,2,11,23.3,0.2
Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont - La Petite-Patrie,7,19,Wednesday,8,121,21.8,0
10e avenue / Masson,Rosemont - La Petite-Patrie,9,14,Thursday,29,161,13.9,0
St-Joseph / 8e avenue Lachine,Lachine,7,2,Sunday,0,43,23.3,2.1
St-Joseph / 8e avenue Lachine,Lachine,6,9,Friday,1,15,15.3,0
Métro Jolicoeur (de Sève / Drake),Le Sud-Ouest,9,12,Tuesday,7,48,18.3,0
Duvernay / Charlevoix,Le Sud-Ouest,9,9,Saturday,5,138,18.1,0
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,8,20,Sunday,7,42,20.9,0
Molson / Beaubien,Rosemont - La Petite-Patrie,8,30,Wednesday,5,39,17.8,30.3
Dézéry / Ontario,Mercier - Hochelaga-Maisonneuve,8,28,Monday,29,146,18.9,0
St-Dominique / St-Zotique,Rosemont - La Petite-Patrie,9,1,Friday,18,216,18.1,0
de la Roche / Bélanger,Rosemont - La Petite-Patrie,10,26,Thursday,25,93,16.1,5.8
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,7,19,Wednesday,19,80,21.8,0
Cartier / Rosemont,Rosemont - La Petite-Patrie,5,12,Friday,16,57,20.3,0
Parc Lalancette (de Rouen / Valois),Mercier - Hochelaga-Maisonneuve,5,15,Monday,7,71,15.6,0
de Gaspé / Beaubien,Rosemont - La Petite-Patrie,7,17,Monday,2,76,25.2,0
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,8,6,Sunday,14,301,21.5,0
Louis-Hébert / de Bellechasse,Rosemont - La Petite-Patrie,5,6,Saturday,11,70,15.6,0
Laird / Glencoe,Mont-Royal,5,15,Monday,3,16,15.6,0
Chambord / Beaubien,Rosemont - La Petite-Patrie,10,11,Wednesday,18,74,10.3,1.8
Louis-Hébert / de Bellechasse,Rosemont - La Petite-Patrie,9,24,Sunday,10,118,18.5,0
St-Ambroise / Louis-Cyr,Le Sud-Ouest,8,6,Sunday,1,54,21.5,0
Laird / Glencoe,Mont-Royal,10,21,Saturday,1,2,11.6,14.6
Chambord / Beaubien,Rosemont - La Petite-Patrie,8,17,Thursday,21,106,23.3,0.2
5e avenue / Masson,Rosemont - La Petite-Patrie,9,11,Monday,29,117,18.3,0
de Bordeaux / St-Zotique,Rosemont - La Petite-Patrie,5,30,Tuesday,17,46,19.3,0
Chambord / Beaubien,Rosemont - La Petite-Patrie,7,20,Thursday,19,95,21.8,0.3
Parc Kirkland (des Érables / Boyer),Lachine,7,21,Friday,0,10,21.9,26
Parc Félix-Leclerc (François-Boivin / St-Zotique),Mercier - Hochelaga-Maisonneuve,9,26,Tuesday,4,15,13.9,0.2
Jeanne-Mance / Beaubien,Rosemont - La Petite-Patrie,9,12,Tuesday,9,71,18.3,0
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,8,9,Wednesday,16,44,22.1,0
Métro Assomption (Chauveau / de l'Assomption),Mercier - Hochelaga-Maisonneuve,5,12,Friday,2,33,20.3,0
29e avenue / St-Zotique,Rosemont - La Petite-Patrie,10,26,Thursday,12,37,16.1,5.8
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,8,25,Friday,0,17,18.3,1.1
Boyer / Bélanger,Rosemont - La Petite-Patrie,7,15,Saturday,5,114,22.8,0.3
1ère avenue / Rosemont,Rosemont - La Petite-Patrie,7,22,Saturday,7,65,21.2,0
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,9,18,Monday,30,186,17,0.5
Ste-Claire / Pierre-Tétreault,Mercier - Hochelaga-Maisonneuve,6,13,Tuesday,1,6,19,13.8
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,7,19,Wednesday,13,50,21.8,0
Gare Lachine (Sir George Simpson / 48e avenue),Lachine,9,20,Wednesday,0,4,15.7,0
Drolet / St-Zotique,Rosemont - La Petite-Patrie,10,22,Sunday,1,21,7.4,8.4
Henri-Julien / de Bellechasse,Rosemont - La Petite-Patrie,6,30,Friday,4,62,22.8,0
Laird / Glencoe,Mont-Royal,8,1,Tuesday,1,17,15.6,0
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,7,14,Friday,10,53,21.3,0
Duvernay / Charlevoix,Le Sud-Ouest,6,11,Sunday,9,135,20.3,0
St-Germain / Hochelaga,Mercier - Hochelaga-Maisonneuve,10,29,Sunday,2,16,4.7,1
Léa-Roback / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,7,8,Saturday,11,249,25,0
Parc St-Louis (St-Joseph / 34e avenue),Lachine,5,12,Friday,0,28,20.3,0
16e avenue / St-Joseph,Rosemont - La Petite-Patrie,10,25,Wednesday,8,46,14.9,3.3
27e avenue / Rosemont,Rosemont - La Petite-Patrie,8,31,Thursday,10,39,15.2,0
Métro Langelier (Langelier / Sherbrooke),Mercier - Hochelaga-Maisonneuve,8,20,Sunday,3,39,20.9,0
de St-Vallier / St-Zotique,Rosemont - La Petite-Patrie,9,11,Monday,17,73,18.3,0
Fortune / Wellington,Le Sud-Ouest,6,14,Wednesday,18,71,18.2,0
de Chambly / Rachel,Rosemont - La Petite-Patrie,6,7,Wednesday,5,34,13.7,3.7
de St-Vallier / St-Zotique,Rosemont - La Petite-Patrie,6,22,Thursday,13,78,22.9,0.3
Bel Air / St-Antoine,Le Sud-Ouest,7,18,Tuesday,3,13,22.8,10.2
Shearer / Centre,Le Sud-Ouest,8,9,Wednesday,23,74,22.1,0
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,9,7,Thursday,20,64,26.1,0
Hamilton / Jolicoeur,Le Sud-Ouest,6,16,Friday,12,51,19.8,0
Ryde / Charlevoix,Le Sud-Ouest,7,26,Wednesday,15,66,24.9,0
St-Dominique / St-Zotique,Rosemont - La Petite-Patrie,10,15,Sunday,6,113,9.5,0
Chambord / Beaubien,Rosemont - La Petite-Patrie,6,6,Tuesday,24,98,16.7,0.3
26e avenue / Beaubien,Rosemont - La Petite-Patrie,8,10,Thursday,14,43,21.3,15.2
Cartier / Bélanger,Rosemont - La Petite-Patrie,8,3,Thursday,2,47,20.8,7.2
Shearer / Centre,Le Sud-Ouest,5,20,Saturday,3,42,18.4,3.2
Egan / Laurendeau,Le Sud-Ouest,9,17,Sunday,8,33,17.9,0
de la Roche / Bélanger,Rosemont - La Petite-Patrie,10,15,Sunday,7,72,9.5,0
Canning / Notre-Dame,Le Sud-Ouest,6,17,Saturday,3,48,15.3,5.3
Richardson / Montmorency,Le Sud-Ouest,9,10,Sunday,1,42,17,11.2
Rose-de-Lima / Workman,Le Sud-Ouest,9,7,Thursday,13,41,26.1,0
Louis-Hébert / St-Zotique,Rosemont - La Petite-Patrie,10,30,Monday,3,22,2.5,8
16e avenue / St-Joseph,Rosemont - La Petite-Patrie,9,29,Friday,19,64,15.7,0
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,5,18,Thursday,0,12,7.6,0
Parc Père-Marquette (Chambord / Rosemont),Rosemont - La Petite-Patrie,9,4,Monday,6,140,24.6,0
Drolet / Beaubien,Rosemont - La Petite-Patrie,5,15,Monday,14,70,15.6,0
Valois / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,6,16,Friday,21,61,19.8,0
Métro Jolicoeur (de Sève / Drake),Le Sud-Ouest,7,13,Thursday,3,36,23,36.1
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand),Mercier - Hochelaga-Maisonneuve,6,7,Wednesday,5,43,13.7,3.7
8e avenue / Dandurand,Rosemont - La Petite-Patrie,6,21,Wednesday,18,50,20.8,0.2
Parc Summerlea (53e avenue / St-Joseph),Lachine,9,14,Thursday,1,2,13.9,0
de Chambly / Rachel,Rosemont - La Petite-Patrie,8,13,Sunday,2,69,21.8,0
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,9,5,Tuesday,17,67,26.5,0
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,9,4,Monday,2,23,24.6,0
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,5,29,Monday,0,26,18,0
de Grosbois / Duchesneau,Mercier - Hochelaga-Maisonneuve,5,31,Wednesday,5,20,22.8,0.8
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,10,21,Saturday,2,178,11.6,14.6
Ste-Claire / Pierre-Tétreault,Mercier - Hochelaga-Maisonneuve,5,30,Tuesday,2,9,19.3,0
Drolet / Beaubien,Rosemont - La Petite-Patrie,10,30,Monday,1,40,2.5,8
Parc St-Louis (St-Joseph / 34e avenue),Lachine,5,31,Wednesday,1,10,22.8,0.8
Victoria / 18e avenue Lachine,Lachine,7,17,Monday,1,15,25.2,0
